fecha,venta,
2013-05-25,"$5,00",
2013-05-26,"$5,00",
2013-05-27,"$5,00",
2013-05-28,"$5,00",
2013-05-29,"$5,00",
2013-05-30,"$5,00",
2013-05-31,"$5,00",
2013-06-01,"$5,00",
2013-06-02,"$5,00",
2013-06-03,"$5,00",
2013-06-04,"$5,00",
2013-06-05,"$5,00",
2013-06-06,"$5,00",
2013-06-07,"$5,00",
2013-06-08,"$5,00",
2013-06-09,"$5,00",
2013-06-10,"$5,00",
2013-06-11,"$5,00",
2013-06-12,"$5,00",
2013-06-13,"$5,00",
2013-06-14,"$5,00",
2013-06-15,"$5,00",
2013-06-16,"$5,00",
2013-06-17,"$5,00",
2013-06-18,"$5,00",
2013-06-19,"$5,00",
2013-06-20,"$5,00",
2013-06-21,"$5,00",
2013-06-22,"$5,00",
2013-06-23,"$5,00",
2013-06-24,"$5,00",
2013-06-25,"$5,00",
2013-06-26,"$5,00",
2013-06-27,"$5,00",
2013-06-28,"$5,00",
2013-06-29,"$5,00",
2013-06-30,"$5,00",
2013-07-01,"$5,00",
2013-07-02,"$5,00",
2013-07-03,"$5,00",
2013-07-04,"$5,00",
2013-07-05,"$5,00",
2013-07-06,"$5,00",
2013-07-07,"$5,00",
2013-07-08,"$5,00",
2013-07-09,"$5,00",
2013-07-10,"$5,00",
2013-07-11,"$5,00",
2013-07-12,"$5,00",
2013-07-13,"$5,00",
2013-07-14,"$5,00",
2013-07-15,"$5,00",
2013-07-16,"$5,00",
2013-07-17,"$5,00",
2013-07-18,"$5,00",
2013-07-19,"$5,00",
2013-07-20,"$5,00",
2013-07-21,"$5,00",
2013-07-22,"$5,00",
2013-07-23,"$5,00",
2013-07-24,"$5,00",
2013-07-25,"$5,00",
2013-07-26,"$5,00",
2013-07-27,"$5,00",
2013-07-28,"$5,00",
2013-07-29,"$5,00",
2013-07-30,"$5,00",
2013-07-31,"$5,00",
2013-08-01,"$5,00",
2013-08-02,"$5,00",
2013-08-03,"$5,00",
2013-08-04,"$5,00",
2013-08-05,"$5,00",
2013-08-06,"$5,00",
2013-08-07,"$5,00",
2013-08-08,"$5,00",
2013-08-09,"$5,00",
2013-08-10,"$5,00",
2013-08-11,"$5,00",
2013-08-12,"$5,00",
2013-08-13,"$5,00",
2013-08-14,"$5,00",
2013-08-15,"$5,00",
2013-08-16,"$5,00",
2013-08-17,"$5,00",
2013-08-18,"$5,00",
2013-08-19,"$5,00",
2013-08-20,"$6,00",
2013-08-21,"$6,00",
2013-08-22,"$6,00",
2013-08-23,"$6,00",
2013-08-24,"$6,00",
2013-08-25,"$6,00",
2013-08-26,"$6,00",
2013-08-27,"$6,00",
2013-08-28,"$6,00",
2013-08-29,"$6,00",
2013-08-30,"$6,00",
2013-08-31,"$6,00",
2013-09-01,"$6,00",
2013-09-02,"$6,00",
2013-09-03,"$6,00",
2013-09-04,"$6,00",
2013-09-05,"$6,00",
2013-09-06,"$6,00",
2013-09-07,"$6,00",
2013-09-08,"$6,00",
2013-09-09,"$6,00",
2013-09-10,"$6,00",
2013-09-11,"$6,00",
2013-09-12,"$6,00",
2013-09-13,"$6,00",
2013-09-14,"$6,00",
2013-09-15,"$6,00",
2013-09-16,"$6,00",
2013-09-17,"$6,00",
2013-09-18,"$6,00",
2013-09-19,"$6,00",
2013-09-20,"$6,00",
2013-09-21,"$6,00",
2013-09-22,"$6,00",
2013-09-23,"$6,00",
2013-09-24,"$6,00",
2013-09-25,"$6,00",
